method,iteration,handshake_ms,mem_kb
psk_resumed,31,0.332,7452
psk_resumed,32,0.325,7452
psk_resumed,33,0.359,7452
psk_resumed,34,0.953,7452
psk_resumed,35,1.085,7452
psk_resumed,36,1.048,7452
psk_resumed,37,1.338,7452
psk_resumed,38,1.305,7452
psk_resumed,39,1.257,7452
psk_resumed,40,0.721,7452
psk_resumed,41,1.104,7452
psk_resumed,42,1.330,7452
psk_resumed,43,1.149,7452
psk_resumed,44,0.990,7452
psk_resumed,45,1.082,7452
psk_resumed,46,1.082,7452
psk_resumed,47,1.084,7452
psk_resumed,48,1.046,7452
psk_resumed,49,0.935,7452
psk_resumed,50,1.114,7452
